"","Number","X.","Position.F1","Position.F2","Position.F3","Assign.F1","Assign.F2","Assign.F3","Height","Volume","Line.Width.F1..Hz.","Line.Width.F2..Hz.","Line.Width.F3..Hz.","Merit","Details","Fit.Method","Vol..Method"
"109",109,110,173.10611,53.31782,165.07413,NA,NA,NA,2.69e+09,6.14e+10,109.91194,188.70091,154.75966,1,"None","parabolic","box sum"
"110",110,111,22.90639,52.77688,165.10349,NA,NA,NA,2.64e+09,5.91e+10,108.27037,147.4967,134.10397,1,"None","parabolic","box sum"
"112",112,113,105.31884,51.39465,165.1866,NA,NA,NA,2.79e+09,6.43e+10,126.37284,156.86649,152.12728,1,"None","parabolic","box sum"
"113",113,114,178.26259,50.58739,164.92168,NA,NA,NA,2.37e+09,5.04e+10,84.53203,130.16945,126.41917,1,"None","parabolic","box sum"
"120",120,121,34.486,42.62596,165.08203,NA,NA,NA,2.49e+09,5.32e+10,241.00552,131.77079,106.96317,1,"None","parabolic","box sum"
"122",122,123,173.3388,40.21735,165.21594,NA,NA,NA,2.95e+09,6.25e+10,107.10637,171.52011,112.8448,1,"None","parabolic","box sum"
"127",127,128,173.04716,67.0656,164.57741,NA,NA,NA,2.28e+09,5.34e+10,124.65707,194.29705,131.90597,1,"None","parabolic","box sum"
"132",132,133,30.55314,61.46557,164.6749,NA,NA,NA,2.31e+09,5.5e+10,165.46885,152.1309,260.31123,1,"None","parabolic","box sum"
"133",133,134,53.74339,60.99138,164.62951,NA,NA,NA,2.56e+09,5.64e+10,95.22819,360.74653,123.22154,1,"None","parabolic","box sum"
"137",137,138,175.74202,54.50257,164.60787,NA,NA,NA,2.38e+09,5.12e+10,111.37427,151.26014,111.17034,1,"None","parabolic","box sum"
"138",138,139,58.68231,53.43202,164.75154,NA,NA,NA,2.38e+09,5.39e+10,99.50556,172.7401,127.4547,1,"None","parabolic","box sum"
"139",139,140,27.979,51.86046,164.82542,NA,NA,NA,2.25e+09,5e+10,117.21595,167.77796,132.18815,1,"None","parabolic","box sum"
"140",140,141,122.29134,51.4563,164.71747,NA,NA,NA,2.56e+09,5.42e+10,112.43293,114.33589,117.83474,1,"None","parabolic","box sum"
"141",141,142,104.14114,50.89215,164.72811,NA,NA,NA,2.33e+09,5.31e+10,131.80321,174.15661,112.21566,1,"None","parabolic","box sum"
"145",145,146,115.66956,47.47164,164.65249,NA,NA,NA,2.32e+09,4.57e+10,79.76274,141.18272,96.09738,1,"None","parabolic","box sum"
"147",147,148,52.28089,43.69307,164.71299,NA,NA,NA,2.4e+09,5.33e+10,101.03476,150.47532,123.63671,1,"None","parabolic","box sum"
"161",161,162,103.90269,63.5321,164.35926,NA,NA,NA,2.3e+09,5.14e+10,116.89228,156.60092,180.10733,1,"None","parabolic","box sum"
"162",162,163,130.38899,62.03187,164.47507,NA,NA,NA,2.64e+09,5.68e+10,105.98756,123.72071,130.68926,1,"None","parabolic","box sum"
"164",164,165,128.27619,57.64083,164.35083,NA,NA,NA,2.3e+09,5.03e+10,97.22397,132.46778,143.52499,1,"None","parabolic","box sum"
"165",165,166,27.21414,56.69923,164.45277,NA,NA,NA,2.38e+09,5.36e+10,104.21042,170.21063,229.84586,1,"None","parabolic","box sum"
"166",166,167,124.09572,55.53263,164.35158,NA,NA,NA,2.49e+09,5.74e+10,131.12533,218.87788,128.56011,1,"None","parabolic","box sum"
